,obj,label,set,item_in_set,item_num,concept,listnum,top_ans,mass_ans,true_mass,false_mass
0,"circle,green,2",False,0,0,0,hg96,2, False,False,-0.96240234,-0.4934082
1,"triangle,blue,2",False,0,1,1,hg96,2, False,False,-1.3632812,-0.3005371
2,"triangle,yellow,3",False,0,2,2,hg96,2, False,False,-1.4814453,-0.26293945
3,"rectangle,yellow,1",False,1,0,3,hg96,2, False,False,-1.2304688,-0.35546875
4,"circle,blue,1",False,1,1,4,hg96,2, False,False,-1.7294922,-0.19873047
5,"rectangle,green,3",False,1,2,5,hg96,2, False,False,-2.2128906,-0.11859131
6,"triangle,blue,3",False,2,0,6,hg96,2, True,False,-1.5820312,-0.23864746
7,"circle,blue,1",False,2,1,7,hg96,2, False,False,-2.3515625,-0.10223389
8,"triangle,yellow,2",False,2,2,8,hg96,2, False,False,-2.7988281,-0.0647583
9,"triangle,green,3",False,2,3,9,hg96,2, False,False,-2.8867188,-0.05899048
10,"circle,yellow,1",False,2,4,10,hg96,2, False,False,-2.8300781,-0.06378174
11,"circle,yellow,2",False,3,0,11,hg96,2, False,False,-2.1855469,-0.122924805
12,"circle,green,3",False,3,1,12,hg96,2, False,False,-3.0195312,-0.051086426
13,"rectangle,blue,2",False,3,2,13,hg96,2, False,False,-3.2597656,-0.040374756
14,"triangle,yellow,1",False,3,3,14,hg96,2, False,False,-3.6835938,-0.026611328
15,"triangle,green,1",False,3,4,15,hg96,2, False,False,-3.5605469,-0.03010559
16,"rectangle,yellow,3",True,4,0,16,hg96,2, False,False,-1.6220703,-0.23120117
17,"triangle,green,3",False,5,0,17,hg96,2, True,False,-0.78466797,-0.61279297
18,"triangle,yellow,1",False,5,1,18,hg96,2, False,False,-1.6142578,-0.22338867
19,"triangle,blue,1",False,6,0,19,hg96,2, False,False,-2.3515625,-0.10101318
20,"rectangle,green,2",False,6,1,20,hg96,2, False,False,-2.2382812,-0.113464355
21,"triangle,blue,1",False,7,0,21,hg96,2, True,False,-1.9511719,-0.15454102
22,"triangle,yellow,3",False,7,1,22,hg96,2, True,False,-2.0996094,-0.13146973
23,"circle,green,2",False,8,0,23,hg96,2, False,False,-2.0605469,-0.13806152
24,"triangle,blue,3",False,8,1,24,hg96,2, False,False,-2.9453125,-0.054626465
25,"triangle,green,2",False,8,2,25,hg96,2, False,False,-3.5761719,-0.028823853
26,"triangle,green,1",False,8,3,26,hg96,2, False,False,-3.7285156,-0.024856567
27,"rectangle,blue,2",False,8,4,27,hg96,2, False,False,-3.515625,-0.03074646
28,"rectangle,yellow,1",False,9,0,28,hg96,2, False,False,-2.9453125,-0.054656982
29,"triangle,yellow,2",False,9,1,29,hg96,2, False,False,-4.15625,-0.016036987
30,"rectangle,blue,1",False,9,2,30,hg96,2, False,False,-4.09375,-0.017150879
31,"triangle,blue,3",False,10,0,31,hg96,2, False,False,-2.5644531,-0.08081055
32,"rectangle,blue,2",False,10,1,32,hg96,2, False,False,-4.0039062,-0.018692017
33,"circle,yellow,1",False,10,2,33,hg96,2, False,False,-4.171875,-0.015823364
34,"circle,yellow,2",False,10,3,34,hg96,2, False,False,-3.9570312,-0.01966858
35,"triangle,blue,3",False,11,0,35,hg96,2, False,False,-2.7246094,-0.06842041
36,"circle,blue,2",False,11,1,36,hg96,2, False,False,-4.109375,-0.01676941
37,"rectangle,yellow,2",False,11,2,37,hg96,2, False,False,-4.09375,-0.017074585
38,"circle,yellow,2",True,12,0,38,hg96,2, True,True,-0.23413086,-1.578125
39,"rectangle,green,3",False,13,0,39,hg96,2, False,False,-2.6816406,-0.0715332
40,"triangle,yellow,3",False,13,1,40,hg96,2, False,False,-3.5292969,-0.030044556
41,"circle,blue,1",False,14,0,41,hg96,2, False,False,-3.4550781,-0.032470703
42,"rectangle,blue,2",False,14,1,42,hg96,2, False,False,-3.7734375,-0.0234375
43,"circle,yellow,3",True,15,0,43,hg96,2, True,True,-0.18383789,-1.7929688
44,"circle,blue,2",False,16,0,44,hg96,2, False,False,-3.6210938,-0.02746582
