,obj,label,set,item_in_set,item_num,concept,listnum,top_ans,mass_ans,true_mass,false_mass
0,"triangle,yellow,1",True,0,0,0,hg60,2, False,False,-0.7158203,-0.6845703
1,"circle,blue,2",False,0,1,1,hg60,2, False,False,-0.77734375,-0.62109375
2,"triangle,blue,1",True,0,2,2,hg60,2, False,False,-0.9482422,-0.49487305
3,"rectangle,blue,3",False,1,0,3,hg60,2, False,False,-0.8666992,-0.5541992
4,"rectangle,yellow,2",False,1,1,4,hg60,2, True,True,-0.6357422,-0.7607422
5,"rectangle,yellow,3",False,2,0,5,hg60,2, True,True,-0.47851562,-0.9785156
6,"circle,green,1",False,2,1,6,hg60,2, False,False,-0.78515625,-0.61328125
7,"triangle,yellow,2",False,2,2,7,hg60,2, True,True,-0.5991211,-0.8022461
8,"rectangle,green,3",False,3,0,8,hg60,2, False,False,-0.76904297,-0.62841797
9,"rectangle,green,2",False,3,1,9,hg60,2, False,False,-1.3955078,-0.2866211
10,"circle,blue,2",False,4,0,10,hg60,2, True,False,-1.0351562,-0.4416504
11,"rectangle,green,1",False,4,1,11,hg60,2, False,False,-1.3496094,-0.30249023
12,"rectangle,green,3",True,5,0,12,hg60,2, False,False,-0.8544922,-0.5576172
13,"circle,green,3",True,5,1,13,hg60,2, False,True,-0.5776367,-0.8276367
14,"circle,yellow,2",True,6,0,14,hg60,2, False,False,-1.203125,-0.35913086
15,"rectangle,green,2",True,6,1,15,hg60,2, True,False,-0.89941406,-0.52441406
16,"triangle,green,2",True,6,2,16,hg60,2, True,True,-0.36401367,-1.1923828
17,"circle,green,2",False,7,0,17,hg60,2, True,False,-0.8359375,-0.5703125
18,"circle,yellow,1",False,7,1,18,hg60,2, True,False,-1.4423828,-0.27075195
19,"triangle,yellow,3",False,7,2,19,hg60,2, False,False,-1.4902344,-0.25634766
20,"circle,green,3",True,8,0,20,hg60,2, True,True,-0.5385742,-0.8823242
21,"rectangle,green,3",True,8,1,21,hg60,2, True,True,-0.19970703,-1.7158203
22,"rectangle,blue,3",True,8,2,22,hg60,2, False,True,-0.63427734,-0.75927734
23,"circle,green,1",False,8,3,23,hg60,2, False,False,-0.79248047,-0.60498047
24,"triangle,blue,2",False,8,4,24,hg60,2, False,False,-1.8984375,-0.16357422
25,"circle,blue,1",True,9,0,25,hg60,2, True,False,-1.0449219,-0.43554688
26,"triangle,blue,1",True,9,1,26,hg60,2, True,True,-0.1965332,-1.7275391
27,"circle,yellow,2",False,9,2,27,hg60,2, True,True,-0.49291992,-0.9458008
28,"rectangle,yellow,3",True,9,3,28,hg60,2, False,False,-1.6767578,-0.20788574
29,"circle,yellow,3",True,9,4,29,hg60,2, True,True,-0.37817383,-1.1591797
30,"rectangle,yellow,1",False,10,0,30,hg60,2, True,False,-0.98535156,-0.46948242
31,"rectangle,yellow,3",False,10,1,31,hg60,2, False,False,-1.0751953,-0.41870117
32,"triangle,blue,2",False,11,0,32,hg60,2, False,False,-1.3369141,-0.30566406
33,"rectangle,green,1",False,11,1,33,hg60,2, False,False,-2.9453125,-0.05441284
34,"circle,yellow,3",False,12,0,34,hg60,2, False,False,-1.8056641,-0.1809082
35,"circle,blue,3",True,13,0,35,hg60,2, True,False,-0.9082031,-0.5175781
36,"triangle,blue,3",True,13,1,36,hg60,2, True,True,-0.16552734,-1.8847656
37,"triangle,blue,2",False,13,2,37,hg60,2, True,True,-0.2631836,-1.4667969
38,"circle,blue,2",False,14,0,38,hg60,2, True,False,-1.1376953,-0.3876953
39,"rectangle,yellow,3",True,14,1,39,hg60,2, True,False,-1.2568359,-0.33544922
40,"rectangle,green,1",False,14,2,40,hg60,2, True,False,-1.1376953,-0.38745117
41,"triangle,green,3",True,14,3,41,hg60,2, True,False,-0.9746094,-0.47460938
42,"circle,blue,2",False,15,0,42,hg60,2, False,False,-1.9912109,-0.14770508
43,"rectangle,green,1",False,16,0,43,hg60,2, False,False,-1.0751953,-0.41870117
44,"triangle,yellow,3",True,16,1,44,hg60,2, True,False,-0.7583008,-0.6333008
45,"circle,blue,3",True,16,2,45,hg60,2, True,True,-0.25952148,-1.4785156
46,"triangle,blue,3",True,16,3,46,hg60,2, True,True,-0.105285645,-2.3085938
47,"rectangle,blue,3",False,17,0,47,hg60,2, False,False,-1.0957031,-0.40795898
48,"triangle,blue,2",False,17,1,48,hg60,2, False,False,-2.7832031,-0.064208984
49,"rectangle,blue,1",False,18,0,49,hg60,2, False,False,-1.5273438,-0.24560547
50,"triangle,yellow,2",True,18,1,50,hg60,2, True,False,-1.2353516,-0.34448242
51,"circle,green,2",True,18,2,51,hg60,2, True,True,-0.61865234,-0.77490234
52,"rectangle,blue,3",True,19,0,52,hg60,2, False,True,-0.5698242,-0.8354492
53,"triangle,yellow,3",True,19,1,53,hg60,2, True,True,-0.12548828,-2.140625
54,"rectangle,yellow,2",False,19,2,54,hg60,2, False,True,-0.49243164,-0.9458008
55,"circle,green,3",True,19,3,55,hg60,2, True,True,-0.2166748,-1.6386719
56,"rectangle,yellow,1",False,19,4,56,hg60,2, False,False,-1.7529297,-0.1907959
57,"circle,blue,3",False,20,0,57,hg60,2, True,True,-0.18029785,-1.8056641
58,"triangle,blue,2",False,20,1,58,hg60,2, False,False,-1.7919922,-0.18286133
59,"triangle,blue,1",False,20,2,59,hg60,2, False,False,-2.9902344,-0.051940918
60,"triangle,yellow,2",False,21,0,60,hg60,2, True,True,-0.6557617,-0.7338867
61,"circle,green,3",True,21,1,61,hg60,2, True,True,-0.5366211,-0.8803711
62,"rectangle,blue,3",True,21,2,62,hg60,2, False,True,-0.47460938,-0.9746094
63,"rectangle,yellow,1",False,21,3,63,hg60,2, False,False,-2.9453125,-0.054382324
64,"triangle,green,3",True,22,0,64,hg60,2, True,True,-0.35839844,-1.2021484
65,"circle,green,3",True,22,1,65,hg60,2, True,True,-0.08416748,-2.5214844
66,"triangle,yellow,1",True,22,2,66,hg60,2, False,False,-1.2021484,-0.3581543
67,"triangle,blue,1",True,22,3,67,hg60,2, True,True,-0.2076416,-1.6767578
68,"triangle,blue,1",True,23,0,68,hg60,2, False,False,-0.9941406,-0.46313477
69,"rectangle,yellow,3",True,23,1,69,hg60,2, True,True,-0.42919922,-1.0546875
70,"triangle,green,3",True,23,2,70,hg60,2, True,True,-0.038879395,-3.2734375
71,"circle,green,3",True,23,3,71,hg60,2, True,True,-0.014160156,-4.28125
72,"circle,yellow,1",True,23,4,72,hg60,2, False,True,-0.49267578,-0.9458008
73,"triangle,yellow,1",False,24,0,73,hg60,2, False,False,-1.6513672,-0.21362305
74,"triangle,yellow,3",False,24,1,74,hg60,2, False,False,-2.421875,-0.093322754
