,obj,label,set,item_in_set,item_num,concept,listnum,top_ans,mass_ans,true_mass,false_mass
0,"circle,blue,2",True,0,0,0,hg66,2, True,False,-0.7446289,-0.6977539
1,"rectangle,blue,3",True,1,0,1,hg66,2, False,False,-0.81640625,-0.59765625
2,"circle,green,1",False,1,1,2,hg66,2, False,True,-0.62109375,-0.77734375
3,"triangle,blue,1",False,1,2,3,hg66,2, False,False,-1.0058594,-0.45898438
4,"circle,blue,3",False,1,3,4,hg66,2, False,False,-0.81933594,-0.58496094
5,"triangle,yellow,1",False,1,4,5,hg66,2, False,False,-1.0878906,-0.41577148
6,"triangle,yellow,1",True,2,0,6,hg66,2, False,True,-0.5097656,-0.9316406
7,"triangle,yellow,2",True,2,1,7,hg66,2, False,True,-0.5004883,-0.9379883
8,"circle,blue,3",False,3,0,8,hg66,2, False,False,-0.89208984,-0.53271484
9,"triangle,green,3",True,3,1,9,hg66,2, False,False,-1.1699219,-0.37329102
10,"circle,green,3",False,3,2,10,hg66,2, True,False,-0.76708984,-0.62646484
11,"rectangle,green,3",False,3,3,11,hg66,2, False,False,-0.88134766,-0.53759766
12,"rectangle,blue,2",False,3,4,12,hg66,2, False,False,-1.1591797,-0.37841797
13,"rectangle,green,2",True,4,0,13,hg66,2, True,True,-0.39379883,-1.1279297
14,"triangle,yellow,3",True,4,1,14,hg66,2, False,True,-0.24975586,-1.515625
15,"circle,blue,3",True,5,0,15,hg66,2, False,False,-0.7104492,-0.6791992
16,"triangle,blue,2",True,5,1,16,hg66,2, True,True,-0.2232666,-1.6142578
17,"circle,blue,1",True,6,0,17,hg66,2, True,True,-0.28637695,-1.3955078
18,"triangle,yellow,2",True,6,1,18,hg66,2, True,True,-0.14562988,-2.0058594
19,"triangle,blue,1",True,7,0,19,hg66,2, True,True,-0.12261963,-2.1699219
20,"circle,yellow,1",True,7,1,20,hg66,2, True,True,-0.09667969,-2.3925781
21,"triangle,blue,3",True,8,0,21,hg66,2, True,True,-0.04296875,-3.1992188
22,"triangle,yellow,2",True,9,0,22,hg66,2, True,True,-0.17810059,-1.8183594
23,"rectangle,yellow,3",True,9,1,23,hg66,2, True,True,-0.060668945,-2.8417969
24,"triangle,blue,3",True,10,0,24,hg66,2, True,True,-0.04449463,-3.1542969
25,"circle,yellow,1",True,11,0,25,hg66,2, True,True,-0.011260986,-4.5429688
26,"circle,green,3",False,12,0,26,hg66,2, True,True,-0.38305664,-1.1484375
27,"triangle,blue,2",True,12,1,27,hg66,2, False,True,-0.5629883,-0.8442383
28,"circle,yellow,2",False,12,2,28,hg66,2, True,True,-0.37280273,-1.1699219
29,"rectangle,green,3",False,13,0,29,hg66,2, True,False,-0.8623047,-0.5498047
30,"circle,blue,3",True,13,1,30,hg66,2, False,False,-1.1376953,-0.38745117
31,"rectangle,blue,1",False,13,2,31,hg66,2, False,False,-1.0244141,-0.44604492
32,"rectangle,green,2",False,13,3,32,hg66,2, False,False,-1.2236328,-0.3491211
33,"triangle,blue,1",True,14,0,33,hg66,2, True,True,-0.018066406,-4.0507812
34,"circle,yellow,3",False,15,0,34,hg66,2, False,True,-0.59033203,-0.80908203
35,"circle,green,1",False,15,1,35,hg66,2, False,False,-0.8623047,-0.5498047
36,"circle,blue,2",True,16,0,36,hg66,2, True,True,-0.1907959,-1.7529297
37,"triangle,blue,2",True,16,1,37,hg66,2, True,True,-0.021453857,-3.8652344
38,"circle,green,3",False,17,0,38,hg66,2, False,False,-1.3144531,-0.31396484
39,"triangle,green,1",False,17,1,39,hg66,2, False,False,-1.2128906,-0.35351562
40,"triangle,yellow,3",False,17,2,40,hg66,2, True,False,-0.96484375,-0.48046875
41,"rectangle,yellow,3",True,17,3,41,hg66,2, False,False,-2.0996094,-0.13110352
42,"circle,blue,2",False,17,4,42,hg66,2, False,False,-1.0136719,-0.45141602
43,"rectangle,yellow,1",True,18,0,43,hg66,2, True,True,-0.058776855,-2.8710938
44,"triangle,yellow,1",True,19,0,44,hg66,2, False,False,-0.7832031,-0.6113281
45,"rectangle,blue,3",True,19,1,45,hg66,2, False,False,-1.0957031,-0.40771484
46,"circle,blue,1",True,19,2,46,hg66,2, False,True,-0.6113281,-0.7832031
47,"triangle,yellow,2",True,19,3,47,hg66,2, False,True,-0.12011719,-2.1816406
48,"rectangle,blue,1",True,20,0,48,hg66,2, True,True,-0.19628906,-1.7275391
49,"circle,blue,1",False,20,1,49,hg66,2, True,True,-0.06317139,-2.796875
50,"circle,green,1",False,20,2,50,hg66,2, False,False,-1.4658203,-0.2631836
51,"triangle,blue,3",False,21,0,51,hg66,2, False,False,-0.75,-0.640625
52,"triangle,blue,1",False,21,1,52,hg66,2, False,False,-0.73339844,-0.65527344
53,"triangle,green,2",False,21,2,53,hg66,2, False,False,-0.72558594,-0.66308594
54,"rectangle,green,2",True,21,3,54,hg66,2, True,False,-1.2685547,-0.3310547
55,"rectangle,yellow,3",True,22,0,55,hg66,2, True,True,-0.5629883,-0.8442383
56,"triangle,blue,2",False,22,1,56,hg66,2, True,True,-0.41308594,-1.0849609
57,"triangle,green,1",False,22,2,57,hg66,2, False,False,-1.9375,-0.15612793
58,"triangle,blue,1",True,23,0,58,hg66,2, False,True,-0.2631836,-1.4658203
59,"circle,green,2",True,23,1,59,hg66,2, True,True,-0.57666016,-0.82666016
60,"triangle,green,3",False,24,0,60,hg66,2, False,False,-1.2128906,-0.35375977
61,"rectangle,yellow,3",True,24,1,61,hg66,2, False,False,-1.0136719,-0.45166016
62,"circle,blue,3",True,24,2,62,hg66,2, False,False,-1.3134766,-0.3137207
63,"triangle,blue,2",False,24,3,63,hg66,2, True,True,-0.57666016,-0.82666016
