,concept,overall,last_quarter,first_quarter,subject,overall_percentile,last_quarter_percentile,last_quarter_difference,human_last_quarter_median
0,hg58,0.6136363636363636,0.6363636363636364,0.2727272727272727,gemma_7b-it,47.826086956521735,56.52173913043478,0.0,0.6363636363636364
1,hg103,0.5641025641025641,0.6,0.4,gemma_7b-it,45.45454545454546,77.27272727272728,0.19999999999999996,0.4
2,hg76,0.5652173913043478,0.8333333333333334,0.5,gemma_7b-it,47.826086956521735,91.30434782608695,0.08333333333333337,0.75
3,hg61,0.7857142857142857,1.0,0.7272727272727273,gemma_7b-it,63.63636363636364,100.00000000000001,0.1499999999999999,0.8500000000000001
4,hg110,0.6888888888888889,1.0,0.16666666666666666,gemma_7b-it,24.0,100.0,0.08333333333333337,0.9166666666666666
5,hg65,0.7659574468085106,0.8333333333333334,0.4166666666666667,gemma_7b-it,18.181818181818183,54.54545454545455,0.0,0.8333333333333334
6,hg72,0.6888888888888889,0.75,0.5,gemma_7b-it,82.6086956521739,82.6086956521739,0.11363636363636365,0.6363636363636364
7,hg107,0.5681818181818182,0.8181818181818182,0.36363636363636365,gemma_7b-it,30.43478260869565,95.65217391304347,0.2727272727272728,0.5454545454545454
8,hg95,0.8571428571428571,1.0,0.6363636363636364,gemma_7b-it,47.826086956521735,100.0,0.0,1.0
9,hg28,0.7058823529411765,0.8461538461538461,0.6923076923076923,gemma_7b-it,54.16666666666667,58.333333333333336,0.054487179487179405,0.7916666666666667
10,hg82,0.6486486486486487,0.8,0.5,gemma_7b-it,33.333333333333336,37.5,-0.19999999999999996,1.0
11,hg11,0.9,0.9,0.9,gemma_7b-it,69.56521739130434,26.08695652173913,-0.09999999999999998,1.0
12,hg06,0.6046511627906976,0.5454545454545454,0.5454545454545454,gemma_7b-it,8.333333333333334,12.5,-0.4545454545454546,1.0
13,hg86,0.8048780487804879,0.7272727272727273,0.9090909090909091,gemma_7b-it,43.47826086956522,8.695652173913043,-0.2727272727272727,1.0
14,hg91,0.8,0.8461538461538461,0.5384615384615384,gemma_7b-it,22.72727272727273,40.909090909090914,-0.07051282051282048,0.9166666666666666
15,hg02,0.8297872340425532,1.0,0.3333333333333333,gemma_7b-it,45.0,100.0,0.0,1.0
16,hg15,0.6363636363636364,0.9090909090909091,0.6363636363636364,gemma_7b-it,61.904761904761905,76.19047619047619,0.18181818181818177,0.7272727272727273
17,hg81,0.8461538461538461,1.0,0.7,gemma_7b-it,95.23809523809524,100.0,0.11111111111111116,0.8888888888888888
