,top5_ans,top_ans,sampled_ans,mass_ans,raw_true_mass,raw_false_mass,norm_true_mass,concept,uid,answers,object
0,"[' False', 'False', ' FALSE', ' false', ' circle']", False,0,False,5.547448056475446e-10,0.9999871253967285,5.547519665860534e-10,hg14,gemma7b-tuned112-answerloss,True,large green circle
1,"[' False', 'False', ' True', ' false', ' FALSE']", False,0,False,2.789468100949932e-10,1.0,2.789468100949932e-10,hg14,gemma7b-tuned112-answerloss,False,small yellow triangle
2,"[' False', 'False', ' FALSE', ' false', ' Faker']", False,0,False,4.1937951050265154e-13,0.9999998807907104,4.1937956471276017e-13,hg14,gemma7b-tuned112-answerloss,False,large yellow triangle
3,"[' True', 'True', ' true', ' False', ' TRUE']", True,1,True,0.9999998807907104,1.0261878152784121e-10,1.0,hg14,gemma7b-tuned112-answerloss,False,large blue circle
4,"[' False', 'False', ' FALSE', ' false', '  ']", False,0,False,3.824246554245779e-16,1.0,3.824246554245779e-16,hg14,gemma7b-tuned112-answerloss,True,large blue rectangle
5,"[' False', 'False', ' True', ' false', ' FALSE']", False,0,False,2.486225891829008e-09,1.0,2.486225891829008e-09,hg14,gemma7b-tuned112-answerloss,False,small green rectangle
6,"[' False', 'False', ' false', ' FALSE', ' Fa']", False,0,False,2.200701923008052e-15,1.0,2.200701923008052e-15,hg14,gemma7b-tuned112-answerloss,False,small yellow triangle
7,"[' False', 'False', ' false', ' FALSE', 'fflush']", False,0,False,4.5223494372407246e-18,1.0,4.5223494372407246e-18,hg14,gemma7b-tuned112-answerloss,True,small green circle
8,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,0.9999998807907104,8.095929263153578e-16,1.0,hg14,gemma7b-tuned112-answerloss,True,large green circle
9,"[' False', 'False', ' false', ' FALSE', ' True']", False,0,False,1.2135149655978505e-12,1.0,1.2135149655978505e-12,hg14,gemma7b-tuned112-answerloss,False,medium green triangle
10,"[' False', 'False', ' FALSE', ' false', ' True']", False,0,False,2.244777036778875e-13,1.0,2.244777036778875e-13,hg14,gemma7b-tuned112-answerloss,False,medium blue circle
11,"[' True', 'True', ' False', ' true', ' TRUE']", True,1,True,1.0,1.2626096612677884e-08,1.0,hg14,gemma7b-tuned112-answerloss,True,medium yellow circle
12,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,1.9039801803006726e-17,1.0,hg14,gemma7b-tuned112-answerloss,True,medium green circle
13,"[' True', 'True', ' true', ' TRUE', ' Truth']", True,1,True,1.0,4.24835413113866e-18,1.0,hg14,gemma7b-tuned112-answerloss,True,large green circle
14,"[' True', 'True', ' true', ' TRUE', ' Truth']", True,1,True,1.0,3.139132888409754e-17,1.0,hg14,gemma7b-tuned112-answerloss,True,medium green circle
15,"[' False', 'False', ' FALSE', ' false', ' Faker']", False,0,False,7.074145213249039e-17,1.0,7.074145213249039e-17,hg14,gemma7b-tuned112-answerloss,False,small blue circle
16,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,4.030726386134531e-17,1.0,hg14,gemma7b-tuned112-answerloss,True,small yellow circle
17,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,3.749159316859339e-18,1.0,hg14,gemma7b-tuned112-answerloss,True,medium yellow circle
18,"[' False', 'False', ' false', ' FALSE', ' Fa']", False,0,False,7.605422541914861e-16,1.0,7.605422541914861e-16,hg14,gemma7b-tuned112-answerloss,False,medium blue circle
19,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,5.454994750713651e-18,1.0,hg14,gemma7b-tuned112-answerloss,True,large green circle
20,"[' False', 'False', ' false', ' FALSE', ' Faker']", False,0,False,4.5223494372407246e-18,1.0,4.5223494372407246e-18,hg14,gemma7b-tuned112-answerloss,False,medium green triangle
21,"[' False', 'False', ' FALSE', ' false', 'fflush']", False,0,False,5.227125550196605e-16,1.0,5.227125550196605e-16,hg14,gemma7b-tuned112-answerloss,False,small yellow triangle
22,"[' False', 'False', ' FALSE', ' false', ' Fake']", False,0,False,1.1176086437054457e-14,1.0,1.1176086437054457e-14,hg14,gemma7b-tuned112-answerloss,True,large blue triangle
23,"[' True', 'True', ' true', ' Truth', ' Tru']", True,1,True,1.0,3.939706362792589e-13,1.0,hg14,gemma7b-tuned112-answerloss,True,medium yellow circle
24,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,1.7709775614540875e-18,1.0,hg14,gemma7b-tuned112-answerloss,True,large green circle
25,"[' False', 'False', ' false', ' FALSE', ' True']", False,0,False,8.703945394560476e-15,1.0,8.703945394560476e-15,hg14,gemma7b-tuned112-answerloss,False,large yellow rectangle
26,"[' False', 'False', ' false', ' FALSE', 'fflush']", False,0,False,1.0848553142971763e-17,1.0,1.0848553142971763e-17,hg14,gemma7b-tuned112-answerloss,False,large green triangle
27,"[' True', 'True', ' true', ' TRUE', ' Truth']", True,1,True,1.0,7.605422541914861e-16,1.0,hg14,gemma7b-tuned112-answerloss,True,medium blue rectangle
28,"[' False', 'False', ' FALSE', ' false', ' FEB']", False,0,False,3.824246554245779e-16,1.0,3.824246554245779e-16,hg14,gemma7b-tuned112-answerloss,False,large blue circle
29,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,1.2293020596364938e-17,1.0,hg14,gemma7b-tuned112-answerloss,True,medium green circle
30,"[' False', 'False', ' false', ' FALSE', ' Faker']", False,0,False,1.5628821837904738e-18,1.0,1.5628821837904738e-18,hg14,gemma7b-tuned112-answerloss,False,large green triangle
31,"[' False', 'False', ' FALSE', ' false', 'fflush']", False,0,False,2.7702750207350052e-17,1.0,2.7702750207350052e-17,hg14,gemma7b-tuned112-answerloss,False,medium yellow rectangle
32,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,2.5513349433493033e-19,1.0,hg14,gemma7b-tuned112-answerloss,True,large blue rectangle
33,"[' False', 'False', ' false', ' FALSE', 'assertFalse']", False,0,False,5.5642462513905925e-16,1.0,5.5642462513905925e-16,hg14,gemma7b-tuned112-answerloss,False,large yellow triangle
34,"[' False', 'False', ' FALSE', ' false', ' FEB']", False,0,False,7.605422541914861e-16,1.0,7.605422541914861e-16,hg14,gemma7b-tuned112-answerloss,False,small blue circle
35,"[' False', 'False', ' FALSE', ' false', ' Faker']", False,0,False,4.910429989734471e-16,1.0,4.910429989734471e-16,hg14,gemma7b-tuned112-answerloss,False,medium green triangle
36,"[' False', 'False', ' FALSE', ' false', 'fflush']", False,0,False,2.978326131828138e-16,1.0,2.978326131828138e-16,hg14,gemma7b-tuned112-answerloss,False,small yellow triangle
37,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,1.9039801803006726e-17,1.0,hg14,gemma7b-tuned112-answerloss,True,medium blue triangle
38,"[' False', ' FALSE', ' false', 'False', ' falsely']", False,0,False,2.5767563232233775e-18,0.9999997615814209,2.576756943608837e-18,hg14,gemma7b-tuned112-answerloss,False,large blue circle
39,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,4.81401580276876e-18,1.0,hg14,gemma7b-tuned112-answerloss,True,small yellow circle
40,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,2.715882105195356e-19,1.0,hg14,gemma7b-tuned112-answerloss,True,large green circle
41,"[' False', 'False', ' false', ' FALSE', ' Faker']", False,0,False,2.396757375836046e-19,1.0,2.396757375836046e-19,hg14,gemma7b-tuned112-answerloss,False,small green triangle
42,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,6.120334684686111e-19,1.0,hg14,gemma7b-tuned112-answerloss,True,small blue rectangle
