,top5_ans,top_ans,sampled_ans,mass_ans,raw_true_mass,raw_false_mass,norm_true_mass,concept,uid,answers,object
0,"[' True', ' False', 'True', ' None', ' true']", True,1,True,0.6224499344825745,0.37753498554229736,0.6224592924118042,hg109,gemma7b-tuned112,True,medium blue circle
1,"[' True', ' False', 'True', ' None', ' true']", True,1,True,0.7772918343544006,0.22269783914089203,0.7772998213768005,hg109,gemma7b-tuned112,False,large green circle
2,"[' False', ' True', ' None', ' false', 'False']", False,0,False,0.11920145899057388,0.8807862997055054,0.11920291185379028,hg109,gemma7b-tuned112,False,small yellow triangle
3,"[' True', ' False', ' true', ' None', ' false']", True,0,False,0.49999117851257324,0.49999117851257324,0.5,hg109,gemma7b-tuned112,False,small green triangle
4,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.14804643392562866,0.8519484400749207,0.14804719388484955,hg109,gemma7b-tuned112,False,large yellow triangle
5,"[' False', ' True', ' false', 'True', ' None']", False,1,False,0.4999969005584717,0.4999969005584717,0.5,hg109,gemma7b-tuned112,True,medium blue rectangle
6,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.18242429196834564,0.8175689578056335,0.18242551386356354,hg109,gemma7b-tuned112,True,small blue triangle
7,"[' False', ' True', ' false', ' None', ' true']", False,1,False,0.18242374062538147,0.817566454410553,0.18242552876472473,hg109,gemma7b-tuned112,False,small green circle
8,"[' False', ' True', ' false', ' true', ' None']", False,0,False,0.437819242477417,0.5621710419654846,0.43782350420951843,hg109,gemma7b-tuned112,False,large blue circle
9,"[' True', ' False', ' false', ' true', ' None']", True,0,True,0.5621706247329712,0.4378189146518707,0.562176525592804,hg109,gemma7b-tuned112,True,medium blue triangle
10,"[' True', ' False', 'True', ' true', ' false']", True,1,True,0.7310535311698914,0.2689395844936371,0.7310585975646973,hg109,gemma7b-tuned112,False,medium blue rectangle
11,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.222698375582695,0.7772936820983887,0.22270013391971588,hg109,gemma7b-tuned112,False,medium yellow triangle
12,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.1824241429567337,0.8175682425498962,0.18242552876472473,hg109,gemma7b-tuned112,False,small green rectangle
13,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.0758577212691307,0.924136221408844,0.07585818320512772,hg109,gemma7b-tuned112,False,large yellow rectangle
14,"[' True', ' False', ' false', ' None', ' true']", True,1,True,0.5621687769889832,0.4378174841403961,0.5621764659881592,hg109,gemma7b-tuned112,False,small blue circle
15,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.14804580807685852,0.8519448041915894,0.14804720878601074,hg109,gemma7b-tuned112,False,large blue circle
16,"[' False', ' True', 'False', ' None', ' false']", False,0,False,0.06008640304207802,0.9399095177650452,0.06008664518594742,hg109,gemma7b-tuned112,False,large yellow circle
17,"[' False', ' True', 'False', ' None', ' false']", False,1,False,0.04742567241191864,0.9525701403617859,0.04742586985230446,hg109,gemma7b-tuned112,False,large yellow rectangle
18,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.320818156003952,0.6791720390319824,0.32082128524780273,hg109,gemma7b-tuned112,False,small blue rectangle
19,"[' True', ' False', ' false', ' true', ' None']", True,1,True,0.562171995639801,0.4378199875354767,0.5621764659881592,hg109,gemma7b-tuned112,True,medium blue circle
20,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.7310525178909302,0.26893919706344604,0.7310585975646973,hg109,gemma7b-tuned112,True,medium blue triangle
21,"[' True', ' False', ' None', ' true', 'True']", True,0,True,0.6791712045669556,0.3208177387714386,0.6791787147521973,hg109,gemma7b-tuned112,True,small blue triangle
22,"[' False', ' True', 'False', ' false', ' None']", False,1,False,0.11920222640037537,0.880791962146759,0.11920291930437088,hg109,gemma7b-tuned112,False,medium yellow rectangle
23,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.09534890949726105,0.9046452641487122,0.09534946829080582,hg109,gemma7b-tuned112,False,small yellow circle
24,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.18242400884628296,0.8175676465034485,0.18242552876472473,hg109,gemma7b-tuned112,True,large blue circle
25,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.22269834578037262,0.7772935628890991,0.22270014882087708,hg109,gemma7b-tuned112,False,medium yellow triangle
26,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.07585786283016205,0.9241379499435425,0.07585817575454712,hg109,gemma7b-tuned112,False,small yellow triangle
27,"[' False', ' True', ' false', ' None', ' true']", False,0,False,0.3208179473876953,0.679171621799469,0.32082128524780273,hg109,gemma7b-tuned112,True,small blue circle
28,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.0953487902879715,0.9046441912651062,0.09534946084022522,hg109,gemma7b-tuned112,False,medium green rectangle
29,"[' True', ' False', ' false', ' true', 'True']", True,1,True,0.7310510277748108,0.26893866062164307,0.7310585379600525,hg109,gemma7b-tuned112,True,medium blue circle
30,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.11920223385095596,0.8807920217514038,0.11920291930437088,hg109,gemma7b-tuned112,False,large green circle
31,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.11920224875211716,0.8807921409606934,0.11920291930437088,hg109,gemma7b-tuned112,False,large yellow circle
32,"[' True', ' False', ' None', 'True', ' false']", True,0,True,0.6224524974822998,0.3775365352630615,0.622459352016449,hg109,gemma7b-tuned112,True,medium blue triangle
33,"[' False', ' True', 'False', ' false', ' None']", False,1,False,0.09534902125597,0.9046463370323181,0.09534946084022522,hg109,gemma7b-tuned112,False,medium green rectangle
34,"[' False', ' True', 'False', ' false', ' None']", False,1,False,0.07585778087377548,0.9241369962692261,0.07585817575454712,hg109,gemma7b-tuned112,False,small green circle
35,"[' False', ' True', 'False', ' false', ' None']", False,1,False,0.11920231580734253,0.8807926177978516,0.11920291930437088,hg109,gemma7b-tuned112,False,small green rectangle
36,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.07585780322551727,0.9241372346878052,0.07585817575454712,hg109,gemma7b-tuned112,False,large green circle
37,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.11920211464166641,0.8807911276817322,0.11920291930437088,hg109,gemma7b-tuned112,False,large green triangle
38,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.1824241578578949,0.817568302154541,0.18242552876472473,hg109,gemma7b-tuned112,False,medium green circle
39,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.09534887969493866,0.9046450257301331,0.09534946084022522,hg109,gemma7b-tuned112,False,small yellow triangle
40,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.32081809639930725,0.6791719198226929,0.3208213150501251,hg109,gemma7b-tuned112,False,large blue rectangle
41,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.09534905105829239,0.904646635055542,0.09534946084022522,hg109,gemma7b-tuned112,False,small yellow triangle
42,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.07585781067609787,0.9241373538970947,0.07585817575454712,hg109,gemma7b-tuned112,False,large green rectangle
43,"[' False', ' True', ' false', 'False', ' None']", False,1,False,0.18242426216602325,0.8175687789916992,0.18242552876472473,hg109,gemma7b-tuned112,True,small blue rectangle
44,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.06008633226156235,0.9399083852767944,0.060086652636528015,hg109,gemma7b-tuned112,False,large green triangle
45,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.09534889459609985,0.9046451449394226,0.09534946084022522,hg109,gemma7b-tuned112,False,medium green triangle
46,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.07585785537958145,0.9241378307342529,0.07585818320512772,hg109,gemma7b-tuned112,False,medium yellow rectangle
47,"[' False', ' True', ' false', ' None', ' true']", False,0,False,0.32081738114356995,0.6791704297065735,0.32082128524780273,hg109,gemma7b-tuned112,False,large blue rectangle
48,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.01798614300787449,0.9820100665092468,0.01798621192574501,hg109,gemma7b-tuned112,False,large green rectangle
49,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.09534905105829239,0.904646635055542,0.09534946084022522,hg109,gemma7b-tuned112,False,small green rectangle
50,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.07585778087377548,0.9241369962692261,0.07585817575454712,hg109,gemma7b-tuned112,False,small green circle
51,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.11920224875211716,0.8807921409606934,0.11920291930437088,hg109,gemma7b-tuned112,False,medium yellow triangle
52,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.047425661236047745,0.9525699019432068,0.04742586985230446,hg109,gemma7b-tuned112,False,medium yellow rectangle
53,"[' True', ' False', ' false', ' None', 'True']", True,1,True,0.6224523782730103,0.37753644585609436,0.622459352016449,hg109,gemma7b-tuned112,False,large blue triangle
54,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.037326764315366745,0.9626699686050415,0.037326887249946594,hg109,gemma7b-tuned112,False,large yellow circle
55,"[' True', ' False', ' false', ' true', 'True']", True,0,False,0.49999338388442993,0.49999338388442993,0.5,hg109,gemma7b-tuned112,False,small blue rectangle
56,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.07585775852203369,0.9241366982460022,0.07585817575454712,hg109,gemma7b-tuned112,False,large green circle
57,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.047425661236047745,0.9525699019432068,0.04742586985230446,hg109,gemma7b-tuned112,False,large yellow triangle
58,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.037326764315366745,0.9626699686050415,0.037326887249946594,hg109,gemma7b-tuned112,False,small green rectangle
59,"[' True', ' False', ' false', ' true', 'True']", True,0,True,0.562168538570404,0.4378173053264618,0.562176525592804,hg109,gemma7b-tuned112,False,small blue triangle
60,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.11920204013586044,0.8807905912399292,0.11920291930437088,hg109,gemma7b-tuned112,False,medium green circle
61,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.1192021369934082,0.8807913064956665,0.11920291930437088,hg109,gemma7b-tuned112,False,small yellow triangle
62,"[' True', ' False', ' false', ' None', 'True']", True,0,False,0.49999356269836426,0.49999356269836426,0.5,hg109,gemma7b-tuned112,False,small blue triangle
63,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.11920209974050522,0.8807910084724426,0.11920292675495148,hg109,gemma7b-tuned112,False,medium yellow triangle
64,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.07585760951042175,0.9241349101066589,0.07585817575454712,hg109,gemma7b-tuned112,False,medium green rectangle
65,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.07585769891738892,0.9241359829902649,0.07585817575454712,hg109,gemma7b-tuned112,False,small green triangle
66,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.03732676059007645,0.962669849395752,0.037326887249946594,hg109,gemma7b-tuned112,False,large green rectangle
67,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.09534896910190582,0.9046458601951599,0.09534946084022522,hg109,gemma7b-tuned112,False,medium yellow rectangle
68,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.11920222640037537,0.880791962146759,0.11920291930437088,hg109,gemma7b-tuned112,False,large blue rectangle
69,"[' False', ' True', ' false', ' None', 'False']", False,1,False,0.18242403864860535,0.8175678253173828,0.18242551386356354,hg109,gemma7b-tuned112,True,large blue triangle
70,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.07585787773132324,0.9241381287574768,0.07585818320512772,hg109,gemma7b-tuned112,False,medium yellow triangle
71,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.09534890949726105,0.9046453237533569,0.09534946084022522,hg109,gemma7b-tuned112,False,small yellow triangle
72,"[' True', ' False', ' false', 'True', ' true']", True,1,True,0.5621691346168518,0.4378177523612976,0.562176525592804,hg109,gemma7b-tuned112,True,medium blue rectangle
