,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,true_mass,false_mass
0,"circle,yellow,1",False,0,0,0,hg41,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-27.171875,-25.1328125
1,"rectangle,blue,2",True,0,1,1,hg41,2,"[' True', ' False', 'True', '  ', 'False']", True,True,-25.7265625,-29.6171875
2,"rectangle,green,1",True,0,2,2,hg41,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-22.25,-22.4609375
3,"rectangle,yellow,3",True,0,3,3,hg41,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-23.90625,-23.0
4,"triangle,yellow,3",False,0,4,4,hg41,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-26.0546875,-26.515625
5,"circle,yellow,2",False,1,0,5,hg41,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-24.5859375,-25.9921875
6,"rectangle,blue,2",True,1,1,6,hg41,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-22.390625,-24.8671875
7,"rectangle,green,3",True,1,2,7,hg41,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-26.6875,-27.8828125
8,"rectangle,yellow,2",True,1,3,8,hg41,2,"[' False', ' True', 'True', 'False', ' false']", False,False,-24.8046875,-24.78125
9,"rectangle,green,1",True,1,4,9,hg41,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-22.0234375,-19.78125
10,"rectangle,green,2",True,2,0,10,hg41,2,"[' True', ' False', 'True', '  ', 'False']", True,True,-27.2421875,-29.6640625
11,"triangle,blue,3",True,2,1,11,hg41,2,"[' False', 'False', ' True', ' false', '  ']", False,False,-30.1015625,-22.21875
12,"rectangle,yellow,2",False,2,2,12,hg41,2,"[' False', ' True', 'False', ' false', '  ']", False,False,-26.6796875,-20.640625
13,"triangle,blue,1",True,2,3,13,hg41,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-24.9296875,-25.546875
14,"circle,green,1",True,3,0,14,hg41,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-28.5,-27.703125
15,"circle,yellow,1",False,3,1,15,hg41,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-24.0234375,-20.8125
16,"rectangle,yellow,2",True,4,0,16,hg41,2,"[' True', ' False', 'True', '  ', 'False']", True,True,-25.6171875,-28.53125
17,"rectangle,blue,3",True,4,1,17,hg41,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-23.40625,-21.671875
18,"circle,green,3",True,4,2,18,hg41,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-23.875,-21.390625
19,"triangle,green,1",True,4,3,19,hg41,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-26.890625,-24.921875
20,"circle,yellow,1",False,4,4,20,hg41,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-21.484375,-20.4453125
21,"circle,yellow,1",False,5,0,21,hg41,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-29.9609375,-28.8671875
22,"triangle,green,2",True,5,1,22,hg41,2,"[' True', 'True', ' False', ' true', '  ']", True,True,-23.203125,-30.6015625
23,"rectangle,green,3",True,6,0,23,hg41,2,"[' True', 'True', ' False', ' true', '  ']", True,True,-22.8671875,-28.515625
24,"triangle,green,1",True,7,0,24,hg41,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-30.5078125,-30.0390625
25,"rectangle,blue,1",True,7,1,25,hg41,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-21.9375,-20.8359375
26,"triangle,blue,1",True,7,2,26,hg41,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-20.84375,-23.5
27,"triangle,yellow,2",True,7,3,27,hg41,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-26.109375,-24.421875
28,"rectangle,blue,2",True,7,4,28,hg41,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-19.6328125,-17.8984375
29,"circle,yellow,1",False,8,0,29,hg41,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-32.6875,-30.65625
30,"rectangle,yellow,2",True,9,0,30,hg41,2,"[' True', ' False', 'True', ' true', '  ']", True,True,-29.265625,-34.2578125
31,"circle,blue,3",True,9,1,31,hg41,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-22.7734375,-19.53125
32,"circle,yellow,1",True,9,2,32,hg41,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-23.015625,-23.8671875
33,"rectangle,blue,3",True,9,3,33,hg41,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-15.953125,-18.46875
34,"circle,green,2",True,10,0,34,hg41,2,"[' True', ' False', 'True', ' true', '  ']", True,True,-27.296875,-31.03125
35,"triangle,yellow,1",False,10,1,35,hg41,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-20.765625,-20.0546875
36,"triangle,green,2",True,10,2,36,hg41,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-20.0234375,-22.8125
37,"rectangle,blue,3",True,10,3,37,hg41,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-26.5078125,-27.75
38,"circle,blue,2",True,10,4,38,hg41,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-18.3125,-18.203125
39,"rectangle,green,3",True,11,0,39,hg41,2,"[' True', ' False', 'True', ' true', '  ']", True,True,-24.6953125,-28.703125
40,"rectangle,yellow,3",False,11,1,40,hg41,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-24.84375,-24.8125
41,"rectangle,blue,1",True,12,0,41,hg41,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-26.5390625,-27.0703125
42,"circle,blue,1",True,12,1,42,hg41,2,"[' False', ' True', 'False', ' false', '  ']", False,False,-25.2578125,-19.546875
43,"rectangle,yellow,3",False,13,0,43,hg41,2,"[' True', ' False', 'True', ' true', 'False']", True,True,-26.703125,-29.9609375
44,"triangle,green,2",True,13,1,44,hg41,2,"[' True', 'True', ' False', ' true', '  ']", True,True,-24.1953125,-32.0078125
45,"triangle,green,1",True,14,0,45,hg41,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-25.8671875,-27.46875
46,"circle,yellow,1",True,15,0,46,hg41,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-30.7734375,-29.890625
47,"rectangle,green,2",True,15,1,47,hg41,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-22.703125,-21.6640625
48,"circle,blue,1",True,15,2,48,hg41,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-19.8203125,-21.6875
49,"circle,green,1",True,15,3,49,hg41,2,"[' True', ' False', 'True', ' true', 'False']", True,True,-23.703125,-27.390625
50,"circle,green,3",True,15,4,50,hg41,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-18.96875,-20.1171875
51,"rectangle,blue,1",True,16,0,51,hg41,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-26.4296875,-27.7890625
52,"triangle,yellow,3",False,16,1,52,hg41,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-24.1015625,-20.890625
53,"circle,blue,1",True,16,2,53,hg41,2,"[' True', ' False', 'True', ' true', 'False']", True,True,-21.6015625,-25.1953125
54,"circle,yellow,1",False,17,0,54,hg41,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-28.9296875,-27.0234375
55,"circle,blue,3",True,18,0,55,hg41,2,"[' True', ' False', 'True', ' true', 'False']", True,True,-26.0234375,-29.9296875
56,"circle,yellow,3",True,18,1,56,hg41,2,"[' True', ' False', 'True', ' true', 'False']", True,True,-20.9140625,-23.65625
57,"triangle,blue,1",True,18,2,57,hg41,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-28.8046875,-29.4609375
58,"rectangle,blue,3",True,18,3,58,hg41,2,"[' True', ' False', 'True', ' true', 'False']", True,True,-18.2734375,-21.3828125
