,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,true_mass,false_mass
0,"rectangle,yellow,2",False,0,0,0,hg38,2,"['True', 'False', 'True', 'False', 'true']",True,True,19.203125,17.65625
1,"triangle,blue,3",True,0,1,1,hg38,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,22.7578125,21.6328125
2,"rectangle,green,3",True,1,0,2,hg38,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,23.03515625,23.00390625
3,"rectangle,blue,3",True,1,1,3,hg38,2,"['True', 'False', 'True', 'False', 'true']",True,True,22.958984375,21.896484375
4,"rectangle,blue,2",True,1,2,4,hg38,2,"['True', 'False', 'True', 'Med', 'False']",True,True,22.55078125,22.44140625
5,"triangle,yellow,2",False,1,3,5,hg38,2,"['False', 'True', 'True', 'False', '']",False,False,23.1494140625,23.3056640625
6,"rectangle,green,2",False,2,0,6,hg38,2,"['False', 'True', 'True', 'False', '']",False,False,23.2353515625,23.5166015625
7,"circle,green,3",True,2,1,7,hg38,2,"['True', 'False', 'True', 'False', '']",True,True,24.04296875,23.69921875
8,"circle,blue,3",True,3,0,8,hg38,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,23.025390625,22.400390625
9,"circle,yellow,1",True,3,1,9,hg38,2,"['False', 'True', 'False', 'True', 'false']",False,False,24.56787109375,25.42724609375
10,"circle,blue,2",True,3,2,10,hg38,2,"['False', 'True', 'True', 'False', 'Med']",False,False,23.8076171875,23.9169921875
11,"rectangle,yellow,2",False,3,3,11,hg38,2,"['False', 'True', 'False', 'True', '']",False,False,24.00048828125,25.45361328125
12,"circle,yellow,1",True,4,0,12,hg38,2,"['False', 'True', 'False', 'True', '']",False,False,22.84375,23.265625
13,"triangle,blue,2",True,4,1,13,hg38,2,"['False', 'True', 'True', 'False', 'Tr']",False,False,24.3857421875,24.5888671875
14,"rectangle,green,2",False,4,2,14,hg38,2,"['False', 'True', 'True', 'False', 'Tr']",False,False,24.357421875,24.607421875
15,"triangle,green,3",True,4,3,15,hg38,2,"['True', 'False', 'True', 'False', '']",True,False,23.8515625,23.8515625
16,"triangle,blue,3",True,4,4,16,hg38,2,"['True', 'False', 'True', 'False', '']",True,True,23.00390625,22.03515625
17,"triangle,blue,1",True,5,0,17,hg38,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,23.427734375,23.349609375
18,"triangle,yellow,3",True,5,1,18,hg38,2,"['False', 'True', 'True', 'False', 'Tr']",False,False,25.39892578125,25.58642578125
19,"rectangle,blue,1",True,5,2,19,hg38,2,"['False', 'True', 'False', 'True', 'Tr']",False,False,24.761474609375,25.980224609375
20,"circle,green,1",True,5,3,20,hg38,2,"['False', 'True', 'False', 'True', '']",False,False,24.314453125,25.142578125
21,"triangle,blue,1",True,6,0,21,hg38,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,23.08203125,22.36328125
22,"triangle,blue,3",True,6,1,22,hg38,2,"['True', 'False', 'True', 'Tr', 'False']",True,True,24.052734375,22.802734375
23,"rectangle,yellow,2",False,6,2,23,hg38,2,"['False', 'True', 'False', 'True', 'Tr']",False,False,24.863037109375,26.050537109375
