,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,true_mass,false_mass
0,"circle,yellow,2",False,0,0,0,hg69,2,"['->', ' True', ' ""', ' False', '>']",->,True,6.6796875,6.48828125
1,"rectangle,blue,3",True,0,1,1,hg69,2,"[' False', ' True', ' false', ' true', ' ""']", False,False,9.9609375,11.046875
2,"rectangle,green,2",False,1,0,2,hg69,2,"['->', ' True', '=', '>', ' False']",->,True,7.20703125,6.08984375
3,"rectangle,yellow,2",False,1,1,3,hg69,2,"[' True', ' False', ' true', ' ""', ' Truth']", True,True,10.796875,9.59375
4,"triangle,green,2",False,2,0,4,hg69,2,"[' True', ' False', ' false', ' true', 'False']", True,True,14.640625,14.6328125
5,"triangle,blue,3",True,3,0,5,hg69,2,"[' False', ' True', ' Blue', ' Yellow', ' Large']", False,False,8.0859375,8.5703125
6,"rectangle,blue,1",True,3,1,6,hg69,2,"[' True', ' False', ' Blue', ' Yellow', ' Small']", True,True,9.78125,7.80078125
7,"circle,yellow,3",False,4,0,7,hg69,2,"[' False', ' True', '->', '\n', '=']", False,False,7.13671875,7.2109375
8,"circle,yellow,1",False,4,1,8,hg69,2,"[' False', ' True', ' false', ' true', 'False']", False,False,10.3046875,12.1796875
9,"triangle,blue,3",True,5,0,9,hg69,2,"[' True', ' False', ' false', ' true', 'False']", True,True,15.4609375,15.375
10,"rectangle,green,3",False,5,1,10,hg69,2,"[' False', ' True', ' Yellow', ' Blue', ' Yes']", False,False,11.2734375,11.3046875
11,"rectangle,green,1",False,6,0,11,hg69,2,"[' True', ' False', '\n', ' ""', ' true']", True,True,8.0390625,7.76953125
12,"circle,yellow,1",False,6,1,12,hg69,2,"[' False', ' false', ' True', ' Error', ' Invalid']", False,False,7.75,11.703125
13,"triangle,green,2",False,6,2,13,hg69,2,"[' False', ' True', ' false', ' Error', ' Fake']", False,False,7.6484375,11.8359375
14,"circle,blue,2",True,7,0,14,hg69,2,"[' False', ' True', ' false', 'False', ' FALSE']", False,False,15.203125,16.484375
15,"triangle,green,1",False,7,1,15,hg69,2,"[' False', ' True', ' false', ' Yellow', ' true']", False,False,11.78125,12.9296875
16,"triangle,blue,2",True,7,2,16,hg69,2,"[' False', ' True', ' false', ' Error', ' Yellow']", False,False,10.8203125,13.71875
17,"triangle,green,3",False,8,0,17,hg69,2,"[' True', ' False', ' false', ' true', ' ""']", True,True,12.3671875,11.859375
18,"rectangle,blue,2",True,8,1,18,hg69,2,"[' True', ' False', ' true', ' false', "" '""]", True,True,11.9296875,11.5
19,"circle,blue,3",True,8,2,19,hg69,2,"[' True', ' False', ' false', ' true', 'False']", True,True,15.9140625,15.5234375
20,"circle,green,1",False,8,3,20,hg69,2,"[' False', ' True', ' false', ' true', ' Unknown']", False,False,12.2890625,12.6015625
21,"circle,blue,1",True,8,4,21,hg69,2,"[' False', ' True', ' false', ' Error', ' ""']", False,False,11.2109375,12.6953125
22,"rectangle,blue,3",True,9,0,22,hg69,2,"[' True', ' False', ' true', ' false', ' ""']", True,True,11.859375,11.1953125
23,"circle,blue,1",True,9,1,23,hg69,2,"[' True', ' False', ' false', ' true', "" '""]", True,True,12.53125,11.59375
24,"triangle,green,2",False,9,2,24,hg69,2,"[' False', ' True', ' false', ' true', 'False']", False,False,16.0,16.234375
25,"rectangle,blue,2",True,9,3,25,hg69,2,"[' True', ' False', ' Yellow', ' Unknown', ' Blue']", True,True,12.875,12.765625
26,"circle,green,2",False,10,0,26,hg69,2,"[' False', ' True', ' false', ' true', ' Error']", False,False,10.5859375,11.375
27,"rectangle,green,2",False,11,0,27,hg69,2,"[' True', ' False', ' true', ' false', ' ""']", True,True,12.359375,11.6875
28,"circle,green,1",False,11,1,28,hg69,2,"[' False', ' True', ' false', ' Null', ' true']", False,False,12.0703125,12.625
29,"circle,yellow,2",False,11,2,29,hg69,2,"[' False', ' True', ' false', ' FALSE', ' true']", False,False,15.3125,16.265625
30,"triangle,green,2",False,11,3,30,hg69,2,"[' False', ' True', ' Yellow', ' Null', ' Error']", False,False,10.359375,11.8203125
31,"circle,yellow,2",False,12,0,31,hg69,2,"[' False', ' True', ' false', ' Error', ' ""']", False,False,10.359375,12.015625
32,"rectangle,yellow,2",False,12,1,32,hg69,2,"[' False', ' True', ' false', ' true', ' Error']", False,False,13.515625,14.65625
33,"triangle,green,3",False,12,2,33,hg69,2,"[' False', ' True', ' false', ' Error', ' FALSE']", False,False,11.75,17.1875
34,"circle,green,3",False,13,0,34,hg69,2,"[' False', ' True', ' false', ' true', 'False']", False,False,15.90625,16.265625
35,"triangle,blue,1",True,13,1,35,hg69,2,"[' False', ' True', ' Yellow', ' Small', '\n']", False,False,8.9140625,10.546875
36,"circle,yellow,1",False,13,2,36,hg69,2,"[' False', ' True', ' Unknown', ' Yellow', ' false']", False,False,13.40625,13.46875
37,"triangle,green,2",False,13,3,37,hg69,2,"[' False', ' True', ' false', ' Error', ' FALSE']", False,False,13.984375,16.421875
38,"circle,yellow,2",False,14,0,38,hg69,2,"[' False', ' True', ' false', ' true', ' ""']", False,False,11.71875,12.84375
39,"rectangle,blue,3",True,14,1,39,hg69,2,"[' True', ' False', ' true', ' false', ' TRUE']", True,True,16.625,15.0078125
40,"circle,blue,1",True,14,2,40,hg69,2,"[' False', ' True', ' false', ' true', ' Error']", False,False,12.5703125,12.625
41,"circle,yellow,1",False,14,3,41,hg69,2,"[' True', ' False', ' false', ' true', ' TRUE']", True,True,16.140625,15.796875
