,Unnamed: 0,concept,is_bool,item_num,set_num,answer,hyes,hno,p(yes),lambda_rule,rule_expression,manual_code,object,concept_num,set,model_answer,to_annotate,code_eval,human_lq,chance,coverage_manual_code,full_coverage_manual_code,consistency
0,2775,no other object has the same shape,False,77,25,0,5,16,0.0029188907112711,"""λx.apply1(apply2(same_color,iota(filter(apply2(same_shape,x.o), x.s))),x.o)""
",same color as (the unique object with the same shape),"def is_rule(obj):
    return np.sum([obj.shape == x.shape for x in obj.current_set.objs]) == 1",large green circle,hg64,25,False,True,False,0.7278911564625851,0.53360768175583,1.0,1.0,True
1,2776,no other object has the same shape,False,78,25,0,3,18,0.0002630733132491,"""λx.apply1(apply2(same_color,iota(filter(apply2(same_shape,x.o), x.s))),x.o)""
",same color as (the unique object with the same shape),"def is_rule(obj):
    return np.sum([obj.shape == x.shape for x in obj.current_set.objs]) == 1",medium yellow rectangle,hg64,25,False,True,False,0.7278911564625851,0.53360768175583,1.0,1.0,True
2,2777,no other object has the same shape,False,79,25,0,4,17,0.000604772898896,"""λx.apply1(apply2(same_color,iota(filter(apply2(same_shape,x.o), x.s))),x.o)""
",same color as (the unique object with the same shape),"def is_rule(obj):
    return np.sum([obj.shape == x.shape for x in obj.current_set.objs]) == 1",small green rectangle,hg64,25,False,True,False,0.7278911564625851,0.53360768175583,1.0,1.0,True
3,2778,no other object has the same shape,False,80,25,0,4,17,0.0043393204319954,"""λx.apply1(apply2(same_color,iota(filter(apply2(same_shape,x.o), x.s))),x.o)""
",same color as (the unique object with the same shape),"def is_rule(obj):
    return np.sum([obj.shape == x.shape for x in obj.current_set.objs]) == 1",small blue circle,hg64,25,False,True,False,0.7278911564625851,0.53360768175583,1.0,1.0,True
4,3458,the unique smallest object,False,64,25,0,3,20,0.0328389212214688,"""λx.apply1(apply2(same_color,iota(filter(apply3(size-geq,x.o), x.s))),x.o)""
",strictly larger than all other objects,"def is_rule(obj):
    return np.sum([obj.size_num <= x.size_num for x in obj.current_set.objs]) == 1",medium blue rectangle,hg98,25,False,False,False,0.8019323671497586,0.6597353497164462,0.640625,0.6376811594202898,True
5,3459,the unique smallest object,False,65,25,0,3,20,0.0225582837733782,"""λx.apply1(apply2(same_color,iota(filter(apply3(size-geq,x.o), x.s))),x.o)""
",strictly larger than all other objects,"def is_rule(obj):
    return np.sum([obj.size_num <= x.size_num for x in obj.current_set.objs]) == 1",medium yellow triangle,hg98,25,False,False,False,0.8019323671497586,0.6597353497164462,0.640625,0.6376811594202898,True
6,3460,the unique smallest object,False,66,25,0,2,21,0.0189358901122886,"""λx.apply1(apply2(same_color,iota(filter(apply3(size-geq,x.o), x.s))),x.o)""
",strictly larger than all other objects,"def is_rule(obj):
    return np.sum([obj.size_num <= x.size_num for x in obj.current_set.objs]) == 1",medium yellow rectangle,hg98,25,False,False,False,0.8019323671497586,0.6597353497164462,0.640625,0.6376811594202898,True
7,3461,the unique smallest object,False,67,25,0,2,21,0.1108702991447216,"""λx.apply1(apply2(same_color,iota(filter(apply3(size-geq,x.o), x.s))),x.o)""
",strictly larger than all other objects,"def is_rule(obj):
    return np.sum([obj.size_num <= x.size_num for x in obj.current_set.objs]) == 1",large green triangle,hg98,25,False,False,True,0.8019323671497586,0.6597353497164462,0.640625,0.6376811594202898,False
8,3462,the unique smallest object,False,68,25,1,14,9,0.4937902062808916,"""λx.apply1(apply2(same_color,iota(filter(apply3(size-geq,x.o), x.s))),x.o)""
",strictly larger than all other objects,"def is_rule(obj):
    return np.sum([obj.size_num <= x.size_num for x in obj.current_set.objs]) == 1",small yellow circle,hg98,25,False,False,False,0.8019323671497586,0.6597353497164462,0.640625,0.6376811594202898,True
9,1634,larger than all other objects,False,75,25,0,2,21,0.0111650368776281,"""λx.apply1(apply2(same_color,x.o),iota(filter(apply2(size-geq,x.o), x.s)))""
",strictly larger than all other objects,"def is_rule(obj):
    return np.sum([obj.size_num <= x.size_num for x in obj.current_set.objs]) == 1",small green rectangle,hg29,25,False,True,False,0.9021739130434784,0.6591058514135437,1.0,1.0,True
