,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,true_mass,false_mass
0,"circle,blue,2",False,0,0,0,hg65,2,"[' True', ' False', 'True', 'False', '  ']", True,True,111.8203125,111.7578125
1,"triangle,yellow,1",False,0,1,1,hg65,2,"[' True', ' False', 'True', 'False', ' false']", True,True,78.15625,77.96875
2,"triangle,green,2",False,0,2,2,hg65,2,"[' True', ' False', 'True', 'False', ' false']", True,True,83.25,83.0
3,"circle,yellow,3",False,0,3,3,hg65,2,"[' False', ' True', 'True', 'False', ' false']", False,False,72.375,72.5
4,"rectangle,blue,3",False,1,0,4,hg65,2,"[' False', ' True', 'False', 'True', ' false']", False,False,95.859375,96.234375
5,"triangle,blue,2",False,2,0,5,hg65,2,"[' False', ' True', 'False', 'True', '  ']", False,False,250.34375,251.59375
6,"triangle,green,2",False,2,1,6,hg65,2,"[' False', ' True', 'False', 'True', ' false']", False,False,112.828125,114.703125
7,"rectangle,yellow,3",False,2,2,7,hg65,2,"[' False', ' True', 'False', '  ', 'True']", False,False,-6.28125,-3.5
8,"circle,green,2",False,3,0,8,hg65,2,"[' False', ' True', 'False', 'True', ' false']", False,False,125.359375,126.859375
9,"rectangle,green,1",False,4,0,9,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-315.5625,-312.625
10,"circle,green,1",False,4,1,10,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-419.125,-416.0
11,"circle,blue,3",False,4,2,11,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-460.5,-457.25
12,"rectangle,blue,1",False,5,0,12,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-373.25,-369.625
13,"rectangle,green,3",False,6,0,13,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-557.0,-553.25
14,"circle,yellow,2",False,6,1,14,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-567.5,-563.25
15,"triangle,yellow,3",False,6,2,15,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-585.75,-580.25
16,"triangle,green,1",False,7,0,16,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-554.5,-550.625
17,"triangle,blue,3",False,7,1,17,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-592.25,-587.5
18,"rectangle,green,2",False,7,2,18,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-593.25,-588.5
19,"rectangle,blue,2",False,7,3,19,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-598.75,-593.0
20,"circle,yellow,2",False,7,4,20,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-584.75,-579.25
21,"circle,blue,2",False,8,0,21,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-575.75,-571.0
22,"rectangle,yellow,3",False,9,0,22,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-596.5,-590.5
23,"triangle,green,1",False,9,1,23,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-600.25,-593.5
24,"circle,yellow,1",False,9,2,24,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-596.25,-589.5
25,"triangle,green,2",False,10,0,25,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-597.75,-592.5
26,"circle,green,1",True,10,1,26,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,-605.0,-597.5
27,"circle,green,3",True,10,2,27,hg65,2,"[' False', ' True', '  ', ' false', 'False']", False,False,519.625,520.375
28,"rectangle,green,3",False,10,3,28,hg65,2,"[' True', ' False', 'True', '  ', 'False']", True,True,532.625,531.875
29,"rectangle,blue,1",False,10,4,29,hg65,2,"[' False', ' True', 'False', '  ', ' false']", False,False,533.875,534.875
30,"circle,green,2",False,11,0,30,hg65,2,"[' False', ' True', '  ', ' false', 'False']", False,False,526.125,526.625
31,"triangle,green,2",False,11,1,31,hg65,2,"[' False', ' True', 'False', ' false', '  ']", False,False,538.125,539.125
32,"circle,blue,3",False,11,2,32,hg65,2,"[' False', ' True', ' false', 'False', 'True']", False,False,522.5,522.5
33,"circle,yellow,3",False,11,3,33,hg65,2,"[' False', ' True', ' false', 'False', 'True']", False,False,531.75,532.5
34,"rectangle,blue,1",False,11,4,34,hg65,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-122.78125,-121.5
35,"triangle,yellow,3",False,12,0,35,hg65,2,"[' False', ' True', ' false', 'False', '  ']", False,False,542.75,544.0
36,"circle,green,3",False,12,1,36,hg65,2,"[' False', ' True', ' false', '  ', ' Fake']", False,False,521.5,522.0
37,"triangle,green,3",False,12,2,37,hg65,2,"[' False', ' True', ' false', 'False', 'True']", False,False,-171.75,-170.8125
38,"rectangle,green,2",False,12,3,38,hg65,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-434.875,-433.125
39,"circle,green,2",True,13,0,39,hg65,2,"[' False', ' True', ' false', 'False', '  ']", False,False,531.0,532.25
40,"circle,green,1",True,13,1,40,hg65,2,"[' False', ' True', ' false', '  ', 'False']", False,False,526.75,527.25
41,"triangle,green,2",False,13,2,41,hg65,2,"[' False', ' True', ' false', '  ', 'False']", False,False,533.875,534.375
42,"rectangle,blue,2",False,13,3,42,hg65,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-510.25,-508.25
43,"circle,blue,2",False,13,4,43,hg65,2,"[' False', ' True', ' false', 'False', '  ']", False,False,547.875,548.625
44,"rectangle,yellow,1",False,14,0,44,hg65,2,"[' False', ' True', 'False', ' false', '  ']", False,False,-506.375,-504.25
45,"rectangle,blue,1",False,14,1,45,hg65,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-494.0,-492.375
46,"rectangle,green,2",False,14,2,46,hg65,2,"[' False', ' True', ' false', 'False', '  ']", False,False,-278.0,-276.8125
47,"circle,green,2",False,15,0,47,hg65,2,"[' False', ' True', ' false', 'False', '  ']", False,False,511.375,512.625
48,"triangle,green,1",False,16,0,48,hg65,2,"[' False', ' True', ' false', 'False', '  ']", False,False,360.8125,361.8125
